"day","flights"
"2002-12-17",13944
"2002-12-18",14004
"2002-12-19",14329
"2002-12-20",14401
"2002-12-21",12270
"2002-12-22",13470
"2002-12-23",14063
"2002-12-24",11494
"2002-12-25",11090
"2002-12-26",13804
"2002-12-27",14225
"2002-12-28",12139
"2002-12-29",13380
"2002-12-30",13713
"2002-12-31",12136
